Mountain,Metres,Feet,Range,Location
Chongra Peak,6830,22408,Nanga Parbat Himalaya ,Nanga Parbat Himalaya  Pakistan
Chomo Yummo,6829,22405,Sikkim ,Sikkim  India
Reo Purgyil,6816,22362,Western Himalaya ,Western Himalaya  India border
Ama Dablam,6812,22349,Himalayas ,Himalayas  Nepal 
Monte Pissis,6795,22293,Andes ,Andes  Argentina
Kangtega,6782,22251,Himalayas ,Himalayas  Nepal
Biarchedi,6781,22247,Karakoram ,Karakoram  Pakistan
Huascarán Sur,6768,22205,Andes ,Andes 
Cerro Bonete,6759,22175,Andes ,Andes 
Nevado Tres Cruces,6749,22142,Andes ,Andes 
Kawagarbo,6740,22113,Himalayas ,Himalayas  China
Llullaillaco,6739,22110,Andes ,Andes  Argentina
Cho Polu,6735,22096,Himalayas ,Himalayas  Nepal 
Kangju Kangri,6725,22064,Karakoram ,Karakoram  India 
Changla,6721,22051,Himalayas ,Himalayas  Nepal
Mercedario,6720,22047,Andes ,Andes 
Mount Pandim,6691,21952,Himalayas ,Himalayas  India 
Num Ri,6677,21906,Himalayas ,Himalayas  Nepal 
Lungser Kangri,6666,21870,Ladakh ,Ladakh  Himalayas  India 
Meru Peak,6660,21850,Himalayas ,Himalayas  India
Gul Lasht Zom,6657,21841,Hindu Kush ,Hindu Kush  Pakistan
Huascarán Norte,6655,21834,Andes ,Andes 
Khumbutse,6640,21785,Himalayas ,Himalayas  Nepal 
Mount Kailash,6638,21778,Transhimalaya ,Transhimalaya  western China
Yerupajá,6635,21768,Andes ,Andes  Peru
Nevado Tres Cruces Central,6629,21749,Andes ,Andes  Chile
Thamserku,6623,21729,Himalayas ,Himalayas  Nepal 
Geladaindong Peak,6621,21722,Tanggula ,Tanggula  China 
Incahuasi,6621,21722,Andes ,Andes  Argentina
Pangpoche,6620,21719,Himalayas ,Himalayas  Nepal
Manirang,6597,21644,Himalayas ,Himalayas  India 
Nilkantha,6596,21640,Himalayas ,Himalayas  India 
Phuparash Peak,6574,21568,Karakoram ,Karakoram  Pakistan
Sickle Moon Peak,6574,21568,Himalayas ,Himalayas  India 
Tupungato,6570,21555,Andes ,Andes  Argentina
Buni Zom,6542,21463,Hindu Raj ,Hindu Raj  Pakistan
Nevado Sajama,6542,21463,Andes ,Andes 
Ghamubar Zom,6518,21385,Hindu Kush ,Hindu Kush  Pakistan
Singu Chuli,6501,21329,Annapurna,Annapurna
Taboche,6501,21329,Himalayas ,Himalayas  Nepal 
Cerro El Muerto,6488,21286,Andes ,Andes  Argentina
Mera Peak,6476,21247,Himalayas ,Himalayas  Nepal 
Hiunchuli,6441,21132,Annapurna Himalaya ,Annapurna Himalaya  Nepal
Cholatse,6440,21129,Himalayas ,Himalayas  Nepal 
Illimani,6438,21122,Andes ,Andes  Bolivia
Ancohuma,6427,21086,Andes ,Andes  Bolivia
Coropuna,6425,21079,Andes ,Andes  Peru
Antofalla,6409,21027,Andes ,Andes  Argentina
Kang Yatze,6400,20997,Ladakh ,Ladakh  Himalayas  India 
Huandoy,6395,20981,Andes ,Andes  Peru
Ausangate,6384,20945,Andes ,Andes  Peru
Chapaev Peak,6371,20902,Tian Shan ,Tian Shan 
Illampu,6368,20892,Andes ,Andes  Bolivia
Kusum Kangguru,6367,20889,Himalayas ,Himalayas  Nepal 
Kinnaur Kailash,6349,20830,Himalayas ,Himalayas  Kinnaur  India 
Parinaquta,6348,20827,Andes ,Andes  Bolivia
Siula Grande,6344,20814,Andes ,Andes 
Bamba Dhura,6334,20781,Himalayas ,Himalayas  India 
Ampato,6288,20630,Andes ,Andes  Peru
Amne Machin,6282,20610,Kunlun Mountains ,Kunlun Mountains  China 
Pomerape,6282,20610,Andes ,Andes  Bolivia
Salcantay,6271,20574,Andes ,Andes  Peru
Chimborazo,6267,20561,Andes ,Andes  Ecuador
Mount Siguniang,6250,20505,Qionglai Mountains ,Qionglai Mountains  China 
Grid Nie Mountain,6224,20420,Hengduan Mountains ,Hengduan Mountains  China 
Yuzhu Peak,6224,20420,Kunlun Mountains ,Kunlun Mountains  China 
Genyen Massif,6204,20354,Shaluli Range ,Shaluli Range  China 
Kongde Ri,6187,20299,Himalayas ,Himalayas  Nepal 
Aucanquilcha,6176,20262,Andes ,Andes  Chile
Imja Tse,6189,20305,Himalayas ,Himalayas  Nepal 
Denali,6168,20236,Alaska Range ,Alaska Range  United States 
Stok Kangri,6137,20135,Himalayas ,Himalayas  India 
Lobuche,6119,20075,Himalayas ,Himalayas  Nepal 
Marmolejo,6108,20039,Andes ,Andes  Argentina
Laila Peak (Hushe Valley),6096,20000,Karakoram ,Karakoram  Pakistan
Pisang Peak,6091,19984,Annapurna Himalaya ,Annapurna Himalaya  Nepal
Huayna Potosí,6088,19974,Andes ,Andes  Bolivia
Aracar,6082,19954,Andes ,Andes  Argentina
Chachakumani,6074,19928,Andes ,Andes  Bolivia
Chachani,6057,19872,Andes ,Andes  Peru
Mianzimu,6054,19862,Yunnan ,Yunnan  China
Acotango,6052,19856,Andes ,Andes  Bolivia
Socompa,6051,19852,Andes ,Andes  Argentina
Minglik Sar,6050,19849,Karakoram ,Karakoram  Pakistan
Acamarachi,6046,19836,Andes ,Andes  Chile
Shayaz,6026,19770,Hindu Kush ,Hindu Kush  Pakistan
Hualca Hualca,6025,19767,Andes ,Andes  Peru
Uturunku,6020,19751,Andes ,Andes  Bolivia
Mitre Peak,6010,19718,Karakoram ,Karakoram  Pakistan
Laila Peak,5971,19590,Himalaya,Pakistan
Mount Logan,5959,19551,Saint Elias Mountains,Yukon 
Alpamayo,5947,19511,Andes,Peru
Cerro Lípez,5929,19452,Andes,Bolivia
Licancabur,5920,19423,Andes,Bolivia
Falak Sar,5918,19416,Hindu Kush,Pakistan
Cotopaxi,5897,19347,Andes,Ecuador
Mount Kilimanjaro,5895,19341,Eastern Rift Mountains,Tanzania
Hkakabo Razi,5881,19295,Himalayas,Myanmar
San José,5856,19213,Andes,Chile
El Misti,5822,19101,Andes,Peru
Altun Shan,5798,19022,Altyn-Tagh,Gansu 
Cayambe,5790,18996,Andes,Ecuador
Pico Cristóbal Colón,5776,18950,Sierra Nevada de Santa Marta,Colombia
Antisana,5753,18875,Andes,Ecuador
Nevado Pisco,5752,18871,Andes,Peru
Nevado Anallajsi,5750,18865,Andes,Bolivia
Pokalde,5745,18848,Khumbu,Nepal
Ubinas,5672,18609,Andes,Peru
Pichu Pichu,5664,18583,Andes,Peru
Mount Elbrus,5642,18510,Caucasus Mountains,North Caucasus 
Mehrbani Peak,5639,18501,Karakoram,Pakistan
Pico de Orizaba,5636,18491,Trans-Mexican Volcanic Belt,Mexico
Mount Damavand,5610,18406,Alborz,Iran
Nevado Mismi,5597,18363,Andes,Peru
Jade Dragon Snow Mountain,5596,18360,Hengduan Mountains,Yunnan 
Lascar Volcano,5592,18346,Andes,Chile
Mount Xuebaoding,5588,18333,Min Mountains,Sichuan  China
Kala Patthar,5545,18192,Khumbu,Nepal
Mount Saint Elias,5489,18009,Saint Elias Mountains,Yukon 
Concord Peak,5469,17943,Pamir Mountains,Afghanistan
Dindaw Razi,5464,17927,Himalayas,Myanmar
Machoi Peak,5458,17907,Himalaya,India 
El Plomo,5450,17881,Andes,Chile
Bogda Feng,5445,17864,Tien Shan,Xinjiang 
Mount Little Xuebaoding,5443,17858,Min Mountains,Sichuan  China
Cerro El Plomo,5434,17828,Andes,Chile
Popocatépetl,5426,17802,Trans-Mexican Volcanic Belt,Mexico
Kolahoi Peak,5425,17799,Himalaya,India 
Chacaltaya,5421,17785,Andes,Bolivia
Mount Pomiu,5413,17759,Qionglai Range,Sichuan  China
Ritacuba Blanco,5410,17749,Andes,Colombia
Haba Xueshan,5396,17703,Himalaya,Yunnan  China
Nevado del Ruiz,5389,17680,Andes,Colombia
Nevado del Huila,5364,17598,Andes,Colombia
El Altar,5320,17454,Andes,Ecuador
Mount Foraker,5304,17402,Alaska Range,Alaska 
Mount Haramukh,5300,17388,Himalaya,India 
Nevado del Tolima,5276,17310,Andes,Colombia
Maipo,5264,17270,Andes,Argentina
Illiniza,5248,17218,Andes,Ecuador
Point 5240,5240,17192,Himalaya,Jammu and Kashmir  India
Sirbal Peak,5236,17178,Himalaya,Kashmir Valley  India 
Sangay,5230,17159,Andes,Ecuador
Iztaccíhuatl,5230,17159,Trans-Mexican Volcanic Belt,Mexico
Mount Lucania,5226,17146,Saint Elias Mountains,Yukon 
Karakol Peak,5216,17113,Tian Shan,Kyrgyzstan
Dykh-Tau,5205,17077,Caucasus Mountains,North Caucasus 
Shkhara,5201,17064,Caucasus Mountains,Georgia
Mount Kenya,5199,17057,,Kenya
Malika Parbat,5190,17028,Himalaya,Kaghan Valley 
Amarnath Peak,5186,17014,Himalaya,Kashmir Valley  India 
Laram Q'awa (Charaña),5182,17001,Andes,Bolivia
King Peak,5173,16972,Saint Elias Mountains,Yukon 
Boris Yeltsin Peak,5168,16955,Teskey Ala-Too,Kyrgyzstan
Koshtan-Tau,5150,16896,Caucasus Mountains,North Caucasus 
Mount Ararat,5137,16854,,Turkey
Mount Stanley,5109,16762,Ruwenzori Mountains,Democratic Republic of the Congo
Tami Razi,5101,16736,Himalayas,Myanmar
Mount Steele,5073,16644,Saint Elias Mountains,Yukon 
Janga,5051,16572,Caucasus Mountains,Georgia
Mount Kazbek,5047,16558,Caucasus Mountains,Georgia
Tungurahua,5023,16480,Andes,Ecuador
Carihuairazo,5018,16463,Andes,Ecuador
Mount Bona,5005,16421,Saint Elias Mountains,Alaska 
Mount Blackburn,4996,16391,no range specified,Wrangell Mtns. 
Pico Bolívar,4981,16342,no range specified,Sierra Nevada de Mérida 
Talgar Peak,4979,16335,no range specified,Tian Shan 
Shota Rustaveli Peak,4960,16273,no range specified,Caucasus Mountains 
Gunshar,4950,16240,no range specified,Kohistan District  Pakistan
Mount Sanford,4949,16237,no range specified,Wrangell Mtns. 
Pico Humboldt,4940,16207,no range specified,Sierra Nevada de Mérida 
Pin Bhaba Pass,4930,16175,no range specified,Pin Valley
Vinson Massif,4892,16050,no range specified,Sentinel Range 
Pico Bonpland,4890,16043,no range specified,Sierra Nevada de Mérida 
Puncak Jaya,4884,16024,no range specified,Sudirman Range 
Pico La Concha,4870,15978,no range specified,Sierra Nevada de Mérida 
Gistola,4860,15945,no range specified,Caucasus Mountains 
Tetnuldi,4858,15938,no range specified,Caucasus Mountains 
Mount Tyree,4852,15919,no range specified,Sentinel Range 
Huaynaputina,4850,15912,no range specified,Andes 
Alam Kuh,4850,15912,no range specified,Alborz 
Mount Wood,4842,15886,no range specified,Saint Elias Mountains 
Mount Vancouver,4812,15787,no range specified,Saint Elias Mountains 
Sabalan,4811,15784,no range specified,Iran
Mont Blanc,4810,15781,no range specified,Mont Blanc massif 
Corazón,4790,15715,no range specified,Andes 
Pichincha,4784,15696,no range specified,Andes 
Jimara,4780,15682,no range specified,Khokh Range 
Mount Churchill,4766,15636,no range specified,Saint Elias Mountains 
Puncak Mandala,4760,15617,no range specified,Papua 
Klyuchevskaya Sopka,4750,15584,no range specified,Kamchatka 
Puncak Trikora,4750,15584,no range specified,Papua 
Mont Blanc de Courmayeur,4748,15577,no range specified,Mont Blanc massif 
Sunset Peak,4745,15568,no range specified,Himalaya 
Mount Slaggard,4742,15558,no range specified,Saint Elias Mountains 
Pico Piedras Blancas,4740,15551,no range specified,Sierra de la Culata 
Pico El Toro,4730,15518,no range specified,Andes 
Tatakooti Peak,4725,15502,no range specified,Himalaya  Kashmir Valley  India 
Rumiñahui,4721,15489,no range specified,Andes 
Pico El Leon,4720,15486,no range specified,Andes 
Ushba,4710,15453,no range specified,Caucasus Mountains 
Volcán Domuyo,4709,15449,no range specified,Andes 
Pico Los Nevados,4700,15420,no range specified,Andes 
Pico Pan de Azucar,4680,15354,no range specified,Sierra de la Culata 
Naltar Peak,4678,15348,no range specified,Pakistan
Mount Fairweather,4663,15299,no range specified,Fairweather Range 
Pico Mucuñuque,4660,15289,no range specified,Andes 
Pico El Buitre,4650,15256,no range specified,Andes 
Khazret Sultan,4643,15233,no range specified,Gissar Range 
Sierra Negra,4640,15223,no range specified,Mexico
Dufourspitze,4634,15203,no range specified,Pennine Alps 
Dunantspitze,4632,15197,no range specified,Pennine Alps 
Nordend,4609,15121,no range specified,Pennine Alps 
Mount Hubbard,4577,15016,no range specified,Saint Elias Mountains
Nevado de Toluca,4577,15016,no range specified,Mexico
Mount Meru,4566,14980,no range specified,Tanzania
Zumsteinspitze,4563,14970,no range specified,Pennine Alps 
Signalkuppe,4554,14941,no range specified,Pennine Alps 
Dom,4545,14911,no range specified,Pennine Alps 
Ras Dashen,4533,14872,no range specified,Ethiopia
Eastern Liskamm (Lyskamm),4533,14872,no range specified,Pennine Alps 
Mount Bear,4521,14833,no range specified,Saint Elias Mountains 
Mount Wilhelm,4509,14793,no range specified,Bismarck Range 
Mount Karisimbi,4507,14787,no range specified,Virunga Mountains 
Mount Walsh,4507,14787,no range specified,Saint Elias Mountains 
Belukha Mountain,4506,14783,no range specified,Altay Mountains 
Weisshorn,4506,14783,no range specified,Pennine Alps 
Tebulosmta,4493,14741,no range specified,Caucasus Mountains 
Täschhorn,4491,14734,no range specified,Pennine Alps 
Bazarduzu Dagi,4485,14715,no range specified,Azerbaijan
Matterhorn,4478,14692,no range specified,Pennine Alps 
Mount Rutford,4477,14688,no range specified,Sentinel Range 
Mont Maudit,4465,14649,no range specified,Mont Blanc massif 
Babis Mta,4454,14613,no range specified,Caucasus Mountains 
Mount Shani,4451,14603,no range specified,Caucasus Mountains 
Dena,4448,14593,no range specified,Zagros Mountains 
Vladimir Putin Peak,4446,14587,no range specified,Kyrgyz Alatau 
Mount Hunter,4442,14573,no range specified,Alaska Range 
Parrotspitze,4432,14541,no range specified,Pennine Alps 
La Malinche,4430,14534,no range specified,Cordillera Neovolcanica 
Mount Whitney,4421,14505,no range specified,Sierra Nevada 
Mount Alverstone,4420,14501,no range specified,Saint Elias Mountains 
University Peak,4411,14472,no range specified,Saint Elias Mountains 
Aello Peak,4403,14446,no range specified,Saint Elias Mountains 
Mount Elbert,4402,14442,no range specified,Sawatch Range 
Mount Massive,4395,14419,no range specified,Sawatch Range 
Mount Harvard,4395,14419,no range specified,Sawatch Range 
Mount Rainier,4392,14409,no range specified,Cascades 
Apharwat Peak,4390,14403,no range specified,Gulmarg  India 
Kholeno,4387,14393,no range specified,Alborz 
Mount Williamson,4382,14377,no range specified,Sierra Nevada 
Tavan Bogd Uul,4374,14350,no range specified,Bayan-Ölgii Province 
Blanca Peak,4374,14350,no range specified,Rocky Mountains 
La Plata Peak,4372,14344,no range specified,Sawatch Range 
Mount Giluwe,4368,14331,no range specified,Papua New Guinea
Burchula,4364,14318,no range specified,Caucasus Mountains 
Uncompahgre Peak,4361,14308,no range specified,San Juan Mountains 
Dent Blanche,4357,14295,no range specified,Pennine Alps 
Crestone Peak,4357,14295,no range specified,Sangre de Cristo Range 
Mount Lincoln,4354,14285,no range specified,Mosquito Range 
Azad Kuh,4355,14288,no range specified,Alborz 
Grays Peak,4350,14272,no range specified,Front Range 
Mount Evans,4350,14272,no range specified,Front Range 
Quandary Peak,4350,14272,no range specified,Tenmile Range 
Lalveri,4350,14272,no range specified,Caucasus Mountains 
Mount Antero,4349,14268,no range specified,Sawatch Range 
Torreys Peak,4349,14268,no range specified,Front Range 
Castle Peak,4348,14265,no range specified,Elk Mountains 
Longs Peak,4346,14259,no range specified,Front Range 
McArthur Peak,4344,14252,no range specified,Saint Elias Mountains 
Mount Wilsion,4342,14245,no range specified,San Juan Mountains 
White Mountain Peak,4342,14245,no range specified,White Mountains 
North Palisade,4341,14242,no range specified,Sierra Nevada 
Ludwigshöhe,4341,14242,no range specified,Pennine Alps 
Mount Shavano,4337,14229,no range specified,Sawatch Range 
Colima,4330,14206,no range specified,Mexico
Crestone Needle,4327,14196,no range specified,Sangre de Cristo Range 
Mount Belford,4327,14196,no range specified,Sawatch Range 
Mount Princeton,4327,14196,no range specified,Sawatch Range 
Mount Shasta,4322,14180,no range specified,California 
Mount Elgon,4321,14177,no range specified,Uganda-Kenya
Mount Bross,4320,14173,no range specified,Mosquito Range 
Kit Carson Mountain,4318,14167,no range specified,Sangre de Cristo Range 
Mount Wrangell,4317,14163,no range specified,Alaska 
Maroon Peak,4315,14157,no range specified,Elk Mountains 
Tabeguache Peak,4315,14157,no range specified,Sawatch Range 
El Diente Peak,4315,14157,no range specified,San Juan Mountains 
Mount Sill,4314,14154,no range specified,Sierra Nevada 
Grand Combin,4313,14150,no range specified,Pennine Alps 
Mount Oxford (Colorado),4313,14150,no range specified,Sawatch Range 
Mount Sneffels,4312,14147,no range specified,San Juan Mountains 
Mount Democrat,4312,14147,no range specified,Mosquito Range 
Capitol Peak,4307,14131,no range specified,Elk Mountains 
Pikes Peak,4302,14114,no range specified,Front Range 
Mount Russell,4296,14094,no range specified,Sierra Nevada 
Snowmass Mountain,4295,14091,no range specified,Elk Mountains 
Lenzspitze,4294,14088,no range specified,Pennine Alps 
Mount Eolus,4292,14081,no range specified,San Juan Mountains 
Windom Peak,4292,14081,no range specified,San Juan Mountains 
Challenger Point,4292,14081,no range specified,Sangre de Cristo Range 
Mount Columbia,4291,14078,no range specified,Sawatch Range 
Mount Adishi,4290,14075,no range specified,Caucasus Mountains 
Mount Augusta,4290,14075,no range specified,Saint Elias Mountains 
Humboldt Peak (Colorado),4287,14065,no range specified,Sangre de Cristo Range 
Split Mountain,4287,14065,no range specified,Sierra Nevada 
Mount Bierstadt,4286,14062,no range specified,Front Range 
Diklosmta,4285,14058,no range specified,Caucasus Mountains 
Sunlight Peak,4285,14058,no range specified,San Juan Mountains 
Mount Sidley,4285,14058,no range specified,Volcanic Seven Summits 
Missouri Mountain,4282,14049,no range specified,Sawatch Range 
Culebra Peak,4282,14049,no range specified,Colorado 
Handies Peak,4281,14045,no range specified,San Juan Mountains 
Ellingwood Point,4280,14042,no range specified,Sangre de Cristo Range 
Mount Lindsey,4280,14042,no range specified,Sangre de Cristo Range 
Little Bear Peak,4279,14039,no range specified,Sangre de Cristo Range 
Mount Sherman,4278,14035,no range specified,Mosquito Range 
Redcloud Peak,4277,14032,no range specified,San Juan Mountains 
Galeras,4276,14029,no range specified,Andes 
Mount Langley,4275,14026,no range specified,Sierra Nevada 
Finsteraarhorn,4274,14022,no range specified,Bernese Alps 
Pyramid Peak,4273,14019,no range specified,Elk Mountains 
